ville,temperature,precipitation,date,barrages,capacite_normal_mm3,reserve_mm3,taux_de_remplissage_percent,reserve_mm3_last_year,taux_de_remplissage_percent_last_year,region
Marrakech,18,0.0,2021-03-13,LALLA TAKERKOUST,"53,3","16,6","31,1","3,6","6,7",Marrakech-Safi 
Marrakech,21,0.0,2021-03-14,LALLA TAKERKOUST,"53,3","16,6","31,1","3,6","6,7",Marrakech-Safi 
Marrakech,24,0.0,2021-03-15,LALLA TAKERKOUST,"53,3","16,6","31,1","3,4","6,5",Marrakech-Safi 
Marrakech,23,0.0,2021-03-16,LALLA TAKERKOUST,"53,3","16,6","31,1","3,4","6,5",Marrakech-Safi 
Marrakech,22,0.0,2021-03-17,LALLA TAKERKOUST,"53,3","16,6","31,1","3,4","6,5",Marrakech-Safi 
Marrakech,18,0.0,2021-03-18,LALLA TAKERKOUST,"53,3","16,6","31,1","3,4","6,5",Marrakech-Safi 
Marrakech,16,1.5000000000000002,2021-03-19,LALLA TAKERKOUST,"53,3","16,6","31,1","3,4","6,5",Marrakech-Safi 
Marrakech,13,1.9,2021-03-20,LALLA TAKERKOUST,"53,3","16,5","30,9","3,4","6,5",Marrakech-Safi 
Marrakech,13,0.3,2021-03-21,LALLA TAKERKOUST,"53,3","16,4","30,7","3,4","6,5",Marrakech-Safi 
Marrakech,17,0.0,2021-03-22,LALLA TAKERKOUST,"53,3","16,3","30,6","3,4","6,5",Marrakech-Safi 
Marrakech,20,0.0,2021-03-23,LALLA TAKERKOUST,"53,3","16,2","30,3","3,4","6,5",Marrakech-Safi 
Marrakech,22,0.0,2021-03-24,LALLA TAKERKOUST,"53,3","16,1","30,2","3,5","6,5",Marrakech-Safi 
Marrakech,22,0.0,2021-03-25,LALLA TAKERKOUST,"53,3","16,1","30,2","3,5","6,5",Marrakech-Safi 
Marrakech,24,0.0,2021-03-26,LALLA TAKERKOUST,"53,3","16,0","30,0","3,5","6,6",Marrakech-Safi 
Marrakech,25,0.8999999999999999,2021-03-27,LALLA TAKERKOUST,"53,3","15,9","29,8","3,5","6,6",Marrakech-Safi 
Marrakech,19,2.2,2021-03-28,LALLA TAKERKOUST,"53,3","15,8","29,6","3,5","6,6",Marrakech-Safi 
Marrakech,25,0.1,2021-03-29,LALLA TAKERKOUST,"53,3","15,7","29,4","3,6","6,7",Marrakech-Safi 
Marrakech,26,0.1,2021-03-30,LALLA TAKERKOUST,"53,3","15,5","29,1","3,6","6,7",Marrakech-Safi 
Marrakech,21,0.0,2021-04-01,LALLA TAKERKOUST,"53,3","15,4","28,9","3,6","6,7",Marrakech-Safi 
Marrakech,22,0.0,2021-04-02,LALLA TAKERKOUST,"53,3","15,3","28,7","3,6","6,7",Marrakech-Safi 
Marrakech,21,0.0,2021-04-03,LALLA TAKERKOUST,"53,3","15,2","28,6","3,6","6,7",Marrakech-Safi 
Marrakech,20,0.0,2021-04-04,LALLA TAKERKOUST,"53,3","15,0","28,1","3,6","6,7",Marrakech-Safi 
Marrakech,22,0.0,2021-04-05,LALLA TAKERKOUST,"53,3","14,9","27,9","3,6","6,7",Marrakech-Safi 
Marrakech,21,0.0,2021-04-06,LALLA TAKERKOUST,"53,3","14,4","27,1","3,6","6,7",Marrakech-Safi 
Marrakech,21,0.0,2021-04-07,LALLA TAKERKOUST,"53,3","13,9","26,2","3,6","6,7",Marrakech-Safi 
Marrakech,21,0.0,2021-04-08,LALLA TAKERKOUST,"53,3","13,4","25,1","3,6","6,7",Marrakech-Safi 
Marrakech,21,0.0,2021-04-09,LALLA TAKERKOUST,"53,3","12,8","24,0","3,6","6,7",Marrakech-Safi 
Marrakech,20,0.0,2021-04-10,LALLA TAKERKOUST,"53,3","12,3","23,1","3,6","6,7",Marrakech-Safi 
Marrakech,20,0.0,2021-04-11,LALLA TAKERKOUST,"53,3","11,6","21,7","3,6","6,7",Marrakech-Safi 
Marrakech,22,0.0,2021-04-12,LALLA TAKERKOUST,"53,3","10,9","20,4","3,6","6,7",Marrakech-Safi 
Marrakech,24,0.0,2021-04-13,LALLA TAKERKOUST,"53,3","10,2","19,1","3,6","6,7",Marrakech-Safi 
Marrakech,22,3.7000000000000006,2021-04-14,LALLA TAKERKOUST,"53,3","9,6","17,9","3,6","6,7",Marrakech-Safi 
Marrakech,18,2.3000000000000007,2021-04-15,LALLA TAKERKOUST,"53,3","8,9","16,7","3,6","6,7",Marrakech-Safi 
Marrakech,21,0.6,2021-04-16,LALLA TAKERKOUST,"53,3","8,7","16,3","3,6","6,7",Marrakech-Safi 
Marrakech,21,0.0,2021-04-17,LALLA TAKERKOUST,"53,3","8,3","15,5","3,6","6,7",Marrakech-Safi 
Marrakech,24,0.0,2021-04-18,LALLA TAKERKOUST,"53,3","7,7","14,5","3,6","6,7",Marrakech-Safi 
Marrakech,24,0.0,2021-04-19,LALLA TAKERKOUST,"53,3","7,5","14,1","3,6","6,7",Marrakech-Safi 
Marrakech,23,0.0,2021-04-20,LALLA TAKERKOUST,"53,3","7,3","13,7","3,6","6,8",Marrakech-Safi 
Marrakech,22,0.0,2021-04-21,LALLA TAKERKOUST,"53,3","7,1","13,3","3,6","6,8",Marrakech-Safi 
Marrakech,22,0.0,2021-04-22,LALLA TAKERKOUST,"53,3","8,2","15,4","3,6","6,8",Marrakech-Safi 
Marrakech,24,0.0,2021-04-23,LALLA TAKERKOUST,"53,3","6,5","12,2","3,6","6,8",Marrakech-Safi 
Marrakech,22,0.0,2021-04-24,LALLA TAKERKOUST,"53,3","8,0","15,1","3,6","6,8",Marrakech-Safi 
Marrakech,20,0.0,2021-04-25,LALLA TAKERKOUST,"53,3","10,5","19,7","3,6","6,8",Marrakech-Safi 
Marrakech,21,0.0,2021-04-26,LALLA TAKERKOUST,"53,3","13,1","24,5","3,6","6,8",Marrakech-Safi 
Marrakech,21,0.0,2021-04-27,LALLA TAKERKOUST,"53,3","15,9","29,7","3,7","6,9",Marrakech-Safi 
Marrakech,20,0.0,2021-04-28,LALLA TAKERKOUST,"53,3","18,4","34,6","3,7","6,9",Marrakech-Safi 
