ville,temperature,precipitation,date,barrages,capacite_normal_mm3,reserve_mm3,taux_de_remplissage_percent,reserve_mm3_last_year,taux_de_remplissage_percent_last_year,region
TANGER,16,0,3/15/2021,TANGER - MEDITERRANEE,"22,0","19,2","87,0","13,2","60,1",Tanger-Tetouan-Al Hoceima
Ouarzazate,19,0,3/15/2021,MANSOUR EDDAHBI,"445,3","100,3","22,5","158,7","35,7",Draa-Tafilalet
TANGER,14,0,3/22/2021,TANGER - MEDITERRANEE,"22,0","19,4","88,1","13,2","60,1",Tanger-Tetouan-Al Hoceima
Ouarzazate,13,0,3/22/2021,MANSOUR EDDAHBI,"445,3","99,4","22,3","158,4","35,6",Draa-Tafilalet
TANGER,17,0,3/29/2021,TANGER - MEDITERRANEE,"22,0","19,5","88,5","14,0","63,5",Tanger-Tetouan-Al Hoceima
Ouarzazate,19,0,3/29/2021,MANSOUR EDDAHBI,"445,3","102,8","23,1","150,2","33,7",Draa-Tafilalet
TANGER,17,0,4/5/2021,TANGER - MEDITERRANEE,"22,0","19,6","88,9","14,1","64,1",Tanger-Tetouan-Al Hoceima
Ouarzazate,21,0,4/5/2021,MANSOUR EDDAHBI,"445,3","105,7","23,7","137,1","30,8",Draa-Tafilalet
TANGER,17,0,4/12/2021,TANGER - MEDITERRANEE,"22,0","19,6","89,1","14,1","64,2",Tanger-Tetouan-Al Hoceima
Ouarzazate,24,0,4/12/2021,MANSOUR EDDAHBI,"445,3","108,0","24,3","132,8","29,8",Draa-Tafilalet
TANGER,18,0,4/19/2021,TANGER - MEDITERRANEE,"22,0","19,7","89,3","14,2","64,3",Tanger-Tetouan-Al Hoceima
Ouarzazate,24,0,4/19/2021,MANSOUR EDDAHBI,"445,3","109,9","24,7","132,4","29,7",Draa-Tafilalet
TANGER,17,5.2,4/26/2021,TANGER - MEDITERRANEE,"22,0","19,7","89,5","14,4","65,4",Tanger-Tetouan-Al Hoceima
Ouarzazate,20,0,4/26/2021,MANSOUR EDDAHBI,"445,3","110,6","24,8","130,5","29,3",Draa-Tafilalet
TANGER,17,0,5/3/2021,TANGER - MEDITERRANEE,"22,0","19,8","89,9","14,4","65,6",Tanger-Tetouan-Al Hoceima
Ouarzazate,23,0,5/3/2021,MANSOUR EDDAHBI,"445,3","110,7","24,9","130,0","29,2",Draa-Tafilalet
TANGER,17,2.2,5/10/2021,TANGER - MEDITERRANEE,"22,0","19,8","90,0","14,5","65,7",Tanger-Tetouan-Al Hoceima
Ouarzazate,25,0,5/10/2021,MANSOUR EDDAHBI,"445,3","110,7","24,9","129,4","29,1",Draa-Tafilalet
TANGER,23,0,5/17/2021,TANGER - MEDITERRANEE,"22,0","19,8","90,0","14,5","65,7",Tanger-Tetouan-Al Hoceima
Ouarzazate,28,0,5/17/2021,MANSOUR EDDAHBI,"445,3","110,4","24,8","128,8","28,9",Draa-Tafilalet
TANGER,19,0,5/24/2021,TANGER - MEDITERRANEE,"22,0","19,8","90,0","14,4","65,6",Tanger-Tetouan-Al Hoceima
Ouarzazate,25,0,5/24/2021,MANSOUR EDDAHBI,"445,3","110,1","24,7","128,0","28,8",Draa-Tafilalet
TANGER,24,0,5/31/2021,TANGER - MEDITERRANEE,"22,0","19,8","90,0","14,4","65,3",Tanger-Tetouan-Al Hoceima
Ouarzazate,24,5.9,5/31/2021,MANSOUR EDDAHBI,"445,3","109,6","24,6","127,4","28,6",Draa-Tafilalet
TANGER,24,0,6/7/2021,TANGER - MEDITERRANEE,"22,0","19,7","89,6","14,3","65,0",Tanger-Tetouan-Al Hoceima
Ouarzazate,29,0,6/7/2021,MANSOUR EDDAHBI,"445,3","109,2","24,5","126,4","28,4",Draa-Tafilalet
TANGER,23,0,6/14/2021,TANGER - MEDITERRANEE,"22,0","19,7","89,4","14,4","65,3",Tanger-Tetouan-Al Hoceima
Ouarzazate,32,0,6/14/2021,MANSOUR EDDAHBI,"445,3","108,8","24,4","125,7","28,2",Draa-Tafilalet
TANGER,20,0,6/21/2021,TANGER - MEDITERRANEE,"22,0","19,7","89,3","14,3","64,8",Tanger-Tetouan-Al Hoceima
Ouarzazate,29,0,6/21/2021,MANSOUR EDDAHBI,"445,3","97,9","22,0","111,1","25,0",Draa-Tafilalet
TANGER,22,0,6/28/2021,TANGER - MEDITERRANEE,"22,0","19,6","89,1","14,2","64,3",Tanger-Tetouan-Al Hoceima
Ouarzazate,32,0,6/28/2021,MANSOUR EDDAHBI,"445,3","80,8","18,1","97,9","22,0",Draa-Tafilalet
TANGER,27,0,7/5/2021,TANGER - MEDITERRANEE,"22,0","19,6","88,8","14,1","64,1",Tanger-Tetouan-Al Hoceima
Ouarzazate,36,0,7/5/2021,MANSOUR EDDAHBI,"445,3","69,9","15,7","87,8","19,7",Draa-Tafilalet
TANGER,24,0,7/19/2021,TANGER - MEDITERRANEE,"22,0","19,4 88,1","13,9 63,3",,,Tanger-Tetouan-Al Hoceima
Ouarzazate,33,0,7/19/2021,MANSOUR EDDAHBI,"445,3","68,1","15,3","85,0","19,1",Draa-Tafilalet
TANGER,24,0,7/26/2021,TANGER - MEDITERRANEE,"22,0","19,3 87,8","13,8 62,8",,,Tanger-Tetouan-Al Hoceima
Ouarzazate,34,0,7/26/2021,MANSOUR EDDAHBI,"445,3","67,4","15,1","84,9","19,1",Draa-Tafilalet
TANGER,24,0,8/2/2021,TANGER - MEDITERRANEE,"22,0","19,1","86,8","13,7","62,3",Tanger-Tetouan-Al Hoceima
Ouarzazate,33,0,8/2/2021,MANSOUR EDDAHBI,"445,3","66,8","15,0","82,2","18,5",Draa-Tafilalet
TANGER,26,0,8/9/2021,TANGER - MEDITERRANEE,"22,0","18,9","86,0","13,6","61,9",Tanger-Tetouan-Al Hoceima
Ouarzazate,34,0,8/9/2021,MANSOUR EDDAHBI,"445,3","66,1","14,8","80,9","18,2",Draa-Tafilalet
TANGER,33,0,8/16/2021,TANGER - MEDITERRANEE,"22,0","18,8","85,4","13,6","61,6",Tanger-Tetouan-Al Hoceima
