barrages,capacite_normal_mm3,reserve_mm3,taux_de_remplissage_percent,reserve_mm3_last_year,taux_de_remplissage_percent_last_year,date,ville,region
LALLA TAKERKOUST,"53,3","10,1","18,9","3,3","6,2",2021-10-10,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","12,3","23,1","3,6","6,7",2021-04-10,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","20,1","37,7","3,6","6,8",2021-05-10,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","10,0","18,7","3,4","6,3",2021-06-10,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","5,2","9,7","4,9","9,2",2021-07-10,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","10,1","18,9","4,3","8,1",2021-08-10,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","7,2","13,5","3,9","7,4",2021-09-10,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","10,0","18,7","3,3","6,1",2021-10-11,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","11,6","21,7","3,6","6,7",2021-04-11,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","20,0","37,5","3,6","6,8",2021-05-11,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,7","18,2","3,3","6,3",2021-06-11,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","5,1","9,5","4,8","9,1",2021-07-11,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,5","17,8","4,3","8,1",2021-08-11,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","7,1","13,3","3,9","7,4",2021-09-11,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,9","18,6","3,3","6,1",2021-10-12,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","10,9","20,4","3,6","6,7",2021-04-12,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","19,9","37,4","3,6","6,7",2021-05-12,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,5","17,8","3,3","6,3",2021-06-12,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,7","18,3","4,3","8,1",2021-08-12,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","7,0","13,2","3,9","7,4",2021-09-12,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,8","18,4","3,2","6,1",2021-10-13,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","16,6","31,1","3,6","6,7",2021-03-13,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","10,2","19,1","3,6","6,7",2021-04-13,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","19,8","37,2","3,6","6,7",2021-05-13,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,2","17,3","3,3","6,2",2021-06-13,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,7","18,2","4,3","8,0",2021-08-13,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","7,0","13,0","3,9","7,4",2021-09-13,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","16,6","31,1","3,6","6,7",2021-03-14,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,6","17,9","3,6","6,7",2021-04-14,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","19,7","37,0","3,6","6,7",2021-05-14,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,0","16,9","3,3","6,2",2021-06-14,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,6","18,1","4,3","8,0",2021-08-14,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","6,8","12,8","3,9","7,3",2021-09-14,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","16,6","31,1","3,4","6,5",2021-03-15,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","8,9","16,7","3,6","6,7",2021-04-15,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","19,6","36,8","3,6","6,7",2021-05-15,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","8,7","16,4","3,3","6,1",2021-06-15,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,5","17,8","4,3","8,0",2021-08-15,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","6,8","12,7","3,9","7,3",2021-09-15,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","16,6","31,1","3,4","6,5",2021-03-16,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","8,7","16,3","3,6","6,7",2021-04-16,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","19,5","36,7","3,5","6,6",2021-05-16,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","8,5","15,9","3,3","6,1",2021-06-16,Marrakech,Marrakech-Safi 
