"",,14/03/21,,14/03/20,
BARRAGES,CAPACITE,RESERVE,TAUX DE,RESERVE,TAUX DE
"",NORMALE,,REMPLISSAGE,,REMPLISSAGE
"",(Mm3),(Mm3),( % ),(Mm3),( % )
OUED EL MAKHAZINE,"672,9","667,4","99,2","652,6","97,0"
TANGER - MEDITERRANEE,"22,0","19,1","86,9","13,2","60,2"
IBN BATTOUTA,"29,1","29,1","100,0","5,4","18,7"
NEUF AVRIL 1947,"300,0","76,5","25,5","75,2","25,1"
NAKHLA,"4,21","4,21","100,0","4,2","99,1"
MY HASSAN BEN AL MAHDI,"23,4","23,4","100,0","18,3","78,2"
SMIR,"39,0","39,0","100,0","23,1","59,4"
M.B.A. AL KHATTABI,"11,8","9,0","76,2","5,7","48,7"
CHEFCHAOUEN,"12,2","12,2","100,0","12,2","100,0"
ACHARIF AL IDRISSI,"121,65","121,65","100,0","57,7","47,4"
HASSAN II,"392,3","113,1","28,8","118,9","30,3"
Dar Khrofa,"480,3","252,2","52,5",-,-
JOUMOUA,"5,2","0,9","18,2","0,6","12,1"
INJIL,"12,6","1,5","12,0","1,2","9,4"
BARRAGE SUR OUED ZA,"94,9","63,0","66,4","94,9","100,0"
MOHAMED V,"239,5","47,5","19,8","47,6","19,9"
MECHRAA HOMMADI,"8,1","6,3","77,8","6,3","77,8"
BAB LOUTA,"33,8","33,6","99,4","33,1","97,9"
IDRISS 1 er,"1129,6","841,6","74,5","904,1","80,0"
ALLAL EL FASSI,"63,8","55,7","87,3","52,6","82,5"
SIDI ECHAHED,"152,8","113,1","74,0","122,5","80,2"
SAHLA,"67,4","44,8","66,4","45,6","67,7"
BOUHOUDA,"44,8","44,8","100,0","44,8","100,0"
ASFALOU,"281,68","162,39","57,6","157,6","55,9"
ALWAHDA,"3522,3","2783,3","79,0","2030,0","57,6"
GARDE SEBOU,"40,1","27,1","67,5","39,4","98,2"
EL KENSERA,"216,4","66,3","30,6","106,5","49,2"
MICHLIFEN,"1,5","0,9","57,4","0,9","57,4"
AL HIMER,"14,06","2,32","16,5","2,1","15,0"
S.M.  BEN ABDEELLAH,"974,8","640,0","65,7","665,2","68,2"
TAMESNA,"56,1","34,4","61,3","33,4","59,5"
OUED MELLAH,"37,3","19,7","52,8","17,2","46,2"
BIN EL OUIDANE,"1215,5","373,1","30,7","449,6","37,0"
HASSAN 1er,"236,0","72,4","30,7","65,9","27,9"
SIDI DRISS,"2,4","2,4","96,8","1,0","40,7"
MOULAY YOUSSEF,"142,8","65,6","45,9","45,9","32,1"
TIMINOUTINE,"1,4","1,2","92,1","1,2","89,8"
AHMED AL HANSSALI,"668,2","243,8","36,5","234,9","35,1"
AIT MESSAOUD,"14,3","12,6","87,9","12,3","86,0"
AL MASSIRA,"2657,0","336,9","12,7","409,2","15,4"
IMFOUT,"9,4","5,5","57,9","7,4","78,6"
DAOURAT,"6,8","5,3","77,7","5,6","82,6"
SIDI SAID MAACHOU,"1,1","1,1","100,0","1,1","100,0"
S.M'HAMED BEN SLIMAN JAZOULI,"15,4","8,6","55,7","11,4","74,1"
YAAKOUB MANSOUR,"69,3","36,0","52,0","12,8","18,5"
ABOU EL ABBAS ESSABTI,"24,83","11,69","47,1","12,0","48,2"
LALLA TAKERKOUST,"53,3","16,6","31,1","3,6","6,7"
BARRAGE MOULAY ABDERRAHMANE,"64,4","62,1","96,5","50,1","77,8"
DKHILA,"0,2","0,1","33,7","0,2","70,9"
MOULAY ABDALLAH,"90,6","32,1","35,5","17,0","18,7"
AOULOUZ,"89,0","68,6","77,1","51,5","57,9"
ABDELMOUMENE,"198,4","36,9","18,6","21,7","11,0"
MOKHTAR SOUSSI,"39,8","39,8","100,0","17,9","44,9"
IMI EL KHENG,"9,8","9,8","100,0","5,9","60,1"
AHL SOUSS,"4,7","4,6","99,8","3,1","66,1"
YOUSSEF BEN TACHFINE,"298,9","81,3","27,2","40,6","13,6"
MANSOUR EDDAHBI,"445,3","101,7","22,8","158,9","35,7"
SULTAN MOULAY ALI CHERIF,"280,2","163,9","58,5","163,6","58,4"
HASSAN ADDAKHIL,"312,8","57,6","18,4","94,2","30,1"
SAQUIAT ALHAMRA,-,-,-,-,-
TWUIZGUI RAMZ,"15,0","0,0","0,0","0,0","0,0"
ENSEMBLE DES BARRAGES,"16072,1","8207,3","51,1","7290,7","46,7"
