"",,18/03/21,,18/03/20,
BARRAGES,CAPACITE,RESERVE,TAUX DE,RESERVE,TAUX DE
"",NORMALE,,REMPLISSAGE,,REMPLISSAGE
"",(Mm3),(Mm3),( % ),(Mm3),( % )
OUED EL MAKHAZINE,"672,9","659,8","98,1","650,5","96,7"
TANGER - MEDITERRANEE,"22,0","19,2","87,4","13,2","60,1"
IBN BATTOUTA,"29,1","29,1","100,0","5,6","19,3"
NEUF AVRIL 1947,"300,0","77,1","25,7","74,2","24,7"
NAKHLA,"4,21","4,21","100,0","4,1","98,3"
MY HASSAN BEN AL MAHDI,"23,4","22,7","97,0","18,2","77,8"
SMIR,"39,0","38,1","97,8","23,1","59,3"
M.B.A. AL KHATTABI,"11,8","8,9","75,1","5,7","48,1"
CHEFCHAOUEN,"12,2","12,2","100,0","12,2","100,0"
ACHARIF AL IDRISSI,"121,65","121,65","100,0","56,0","46,0"
HASSAN II,"392,3","113,1","28,8","118,8","30,3"
Dar Khrofa,"480,3","252,2","52,5",-,-
JOUMOUA,"5,2","0,9","18,2","0,6","11,7"
INJIL,"12,6","1,5","12,0","1,2","9,8"
BARRAGE SUR OUED ZA,"94,9","63,2","66,7","94,9","100,0"
MOHAMED V,"239,5","44,3","18,5","43,5","18,2"
MECHRAA HOMMADI,"8,1","6,0","75,0","6,7","82,6"
TAMALOUT,"50,5","17,3","34,3",-,-
BAB LOUTA,"33,8","33,6","99,3","33,0","97,6"
IDRISS 1 er,"1129,6","850,9","75,3","892,0","79,0"
ALLAL EL FASSI,"63,8","55,9","87,6","56,3","88,3"
SIDI ECHAHED,"152,8","113,2","74,1","122,2","80,0"
SAHLA,"67,4","45,2","67,0","45,4","67,4"
BOUHOUDA,"44,76","44,76","100,0","43,7","97,6"
ASFALOU,"281,7","162,3","57,6","157,2","55,8"
ALWAHDA,"3522,3","2757,5","78,3","2014,1","57,2"
GARDE SEBOU,"40,1","9,7","24,1","39,2","97,8"
EL KENSERA,"216,4","66,4","30,7","106,2","49,1"
MICHLIFEN,"1,54","0,88","57,4","0,9","57,4"
AL HIMER,"14,1","2,3","16,6","2,1","14,9"
S.M.  BEN ABDEELLAH,"974,8","639,3","65,6","660,4","67,8"
TAMESNA,"56,1","34,4","61,3","33,2","59,2"
OUED MELLAH,"37,3","19,7","52,7","17,1","45,7"
BIN EL OUIDANE,"1215,5","385,8","31,7","445,5","36,6"
HASSAN 1er,"236,0","74,6","31,6","64,7","27,4"
SIDI DRISS,"2,4","2,2","91,6","1,3","52,8"
MOULAY YOUSSEF,"142,8","68,8","48,2","46,3","32,4"
TIMINOUTINE,"1,4","1,2","88,0","1,2","91,6"
AHMED AL HANSSALI,"668,2","248,7","37,2","201,3","30,1"
AIT MESSAOUD,"14,3","13,5","94,5","13,5","94,0"
AL MASSIRA,"2657,0","337,7","12,7","417,0","15,7"
IMFOUT,"9,4","4,9","51,6","6,2","65,4"
DAOURAT,"6,8","4,9","73,0","5,1","74,6"
SIDI SAID MAACHOU,"1,1","1,1","100,0","1,1","100,0"
S.M'HAMED BEN SLIMAN JAZOULI,"15,4","8,6","55,5","11,2","72,8"
YAAKOUB MANSOUR,"69,34","38,76","55,9","12,9","18,6"
ABOU EL ABBAS ESSABTI,"24,8","12,2","49,2","12,0","48,2"
LALLA TAKERKOUST,"53,3","16,6","31,1","3,4","6,5"
BARRAGE MOULAY ABDERRAHMANE,"64,4","62,0","96,3","49,7","77,1"
DKHILA,"0,2","0,2","95,4","0,1","56,7"
MOULAY ABDALLAH,"90,6","32,0","35,3","16,7","18,4"
AOULOUZ,"89,0","68,2","76,7","50,4","56,6"
ABDELMOUMENE,"198,4","37,0","18,6","21,3","10,7"
MOKHTAR SOUSSI,"39,8","39,8","100,0","17,8","44,8"
IMI EL KHENG,"9,8","9,8","100,0","5,8","59,9"
AHL SOUSS,"4,7","4,6","99,6","3,1","65,9"
YOUSSEF BEN TACHFINE,"298,9","81,3","27,2","40,4","13,5"
MANSOUR EDDAHBI,"445,3","96,7","21,7","158,6","35,6"
SULTAN MOULAY ALI CHERIF,"280,2","164,4","58,7","162,8","58,1"
HASSAN ADDAKHIL,"312,8","57,9","18,5","86,1","27,5"
SAQUIAT ALHAMRA,-,-,-,-,-
TWUIZGUI RAMZ,"15,0","0,0","0,0","0,0","0,0"
ENSEMBLE DES BARRAGES,"16122,6","8201,1","50,9","7206,8","46,2"
