ville,temperature,precipitation,date
TANGER,15,0.7999999999999999,2021-03-01
Ouarzazate,11,0.0,2021-03-01
TANGER,13,0.2,2021-03-08
Ouarzazate,14,0.0,2021-03-08
TANGER,16,0.0,2021-03-15
Ouarzazate,19,0.0,2021-03-15
TANGER,14,0.0,2021-03-22
Ouarzazate,13,0.0,2021-03-22
TANGER,17,0.0,2021-03-29
Ouarzazate,19,0.0,2021-03-29
TANGER,17,0.0,2021-04-05
Ouarzazate,21,0.0,2021-04-05
TANGER,17,0.0,2021-04-12
Ouarzazate,24,0.0,2021-04-12
TANGER,18,0.0,2021-04-19
Ouarzazate,24,0.0,2021-04-19
TANGER,17,5.199999999999999,2021-04-26
Ouarzazate,20,0.0,2021-04-26
TANGER,17,0.0,2021-05-03
Ouarzazate,23,0.0,2021-05-03
TANGER,17,2.2,2021-05-10
Ouarzazate,25,0.0,2021-05-10
TANGER,23,0.0,2021-05-17
Ouarzazate,28,0.0,2021-05-17
TANGER,19,0.0,2021-05-24
Ouarzazate,25,0.0,2021-05-24
TANGER,24,0.0,2021-05-31
Ouarzazate,24,5.9,2021-05-31
TANGER,24,0.0,2021-06-07
Ouarzazate,29,0.0,2021-06-07
TANGER,23,0.0,2021-06-14
Ouarzazate,32,0.0,2021-06-14
TANGER,20,0.0,2021-06-21
Ouarzazate,29,0.0,2021-06-21
TANGER,22,0.0,2021-06-28
Ouarzazate,32,0.0,2021-06-28
TANGER,27,0.0,2021-07-05
Ouarzazate,36,0.0,2021-07-05
TANGER,26,0.0,2021-07-12
Ouarzazate,34,0.0,2021-07-12
TANGER,24,0.0,2021-07-19
Ouarzazate,33,0.0,2021-07-19
TANGER,24,0.0,2021-07-26
Ouarzazate,34,0.0,2021-07-26
TANGER,24,0.0,2021-08-02
Ouarzazate,33,0.0,2021-08-02
TANGER,26,0.0,2021-08-09
Ouarzazate,34,0.0,2021-08-09
TANGER,33,0.0,2021-08-16
Ouarzazate,33,0.0,2021-08-16
TANGER,27,0.0,2021-08-23
Ouarzazate,34,0.0,2021-08-23
TANGER,26,0.0,2021-08-30
Ouarzazate,31,0.0,2021-08-30
TANGER,29,0.0,2021-09-06
Ouarzazate,32,0.0,2021-09-06
TANGER,26,0.4,2021-09-13
Ouarzazate,28,0.0,2021-09-13
TANGER,25,0.0,2021-09-20
Ouarzazate,28,0.0,2021-09-20
TANGER,26,0.0,2021-09-27
Ouarzazate,30,0.0,2021-09-27
TANGER,21,0.0,2021-10-04
Ouarzazate,26,0.0,2021-10-04
TANGER,24,0.0,2021-10-11
Ouarzazate,25,0.0,2021-10-11
TANGER,23,0.0,2021-10-18
Ouarzazate,25,0.0,2021-10-18
TANGER,21,0.0,2021-10-25
Ouarzazate,22,0.0,2021-10-25
TANGER,22,3.2,2021-11-01
Ouarzazate,23,0.0,2021-11-01
TANGER,17,0.0,2021-11-08
Ouarzazate,15,0.0,2021-11-08
TANGER,19,0.0,2021-11-15
Ouarzazate,16,0.0,2021-11-15
TANGER,16,1.0999999999999999,2021-11-22
Ouarzazate,16,0.0,2021-11-22
TANGER,15,1.7000000000000002,2021-11-29
Ouarzazate,12,0.0,2021-11-29
TANGER,14,0.0,2021-12-06
Ouarzazate,14,0.0,2021-12-06
TANGER,16,0.0,2021-12-13
Ouarzazate,12,0.3,2021-12-13
TANGER,16,0.0,2021-12-20
Ouarzazate,12,0.0,2021-12-20
TANGER,18,0.9999999999999999,2021-12-27
Ouarzazate,15,0.0,2021-12-27
TANGER,18,0.0,2022-01-03
Ouarzazate,13,0.0,2022-01-03
TANGER,14,0.0,2022-01-10
Ouarzazate,12,0.0,2022-01-10
TANGER,14,0.0,2022-01-17
Ouarzazate,10,0.0,2022-01-17
TANGER,14,0.7,2022-01-24
Ouarzazate,13,0.0,2022-01-24
TANGER,16,0.0,2022-01-31
Ouarzazate,12,0.30000000000000004,2022-01-31
TANGER,17,0.0,2022-02-07
Ouarzazate,14,0.4,2022-02-07
TANGER,15,3.6000000000000005,2022-02-14
Ouarzazate,14,0.0,2022-02-14
TANGER,17,0.0,2022-02-21
Ouarzazate,15,0.0,2022-02-21
TANGER,15,0.0,2022-02-28
Ouarzazate,15,5.4,2022-02-28
